DateTime,Vehicle_Type,Count,Traffic_Type
18-11-2016 00:00,Total,9,EastBound
18-11-2016 00:15,Total,7,EastBound
18-11-2016 00:30,Total,9,EastBound
18-11-2016 00:45,Total,5,EastBound
18-11-2016 01:00,Total,3,EastBound
18-11-2016 01:15,Total,3,EastBound
18-11-2016 01:30,Total,4,EastBound
18-11-2016 01:45,Total,2,EastBound
18-11-2016 02:00,Total,6,EastBound
18-11-2016 02:15,Total,1,EastBound
18-11-2016 02:30,Total,2,EastBound
18-11-2016 02:45,Total,5,EastBound
18-11-2016 03:00,Total,2,EastBound
18-11-2016 03:15,Total,6,EastBound
18-11-2016 03:30,Total,2,EastBound
18-11-2016 03:45,Total,1,EastBound
18-11-2016 04:00,Total,2,EastBound
18-11-2016 04:15,Total,5,EastBound
18-11-2016 04:30,Total,3,EastBound
18-11-2016 04:45,Total,6,EastBound
18-11-2016 05:00,Total,5,EastBound
18-11-2016 05:15,Total,6,EastBound
18-11-2016 05:30,Total,14,EastBound
18-11-2016 05:45,Total,14,EastBound
18-11-2016 06:00,Total,17,EastBound
18-11-2016 06:15,Total,18,EastBound
18-11-2016 06:30,Total,30,EastBound
18-11-2016 06:45,Total,58,EastBound
18-11-2016 07:00,Total,57,EastBound
18-11-2016 07:15,Total,87,EastBound
18-11-2016 07:30,Total,114,EastBound
18-11-2016 07:45,Total,139,EastBound
18-11-2016 08:00,Total,109,EastBound
18-11-2016 08:15,Total,166,EastBound
18-11-2016 08:30,Total,208,EastBound
18-11-2016 08:45,Total,200,EastBound
18-11-2016 09:00,Total,109,EastBound
18-11-2016 09:15,Total,104,EastBound
18-11-2016 09:30,Total,88,EastBound
18-11-2016 09:45,Total,102,EastBound
18-11-2016 10:00,Total,71,EastBound
18-11-2016 10:15,Total,85,EastBound
18-11-2016 10:30,Total,84,EastBound
18-11-2016 10:45,Total,82,EastBound
18-11-2016 11:00,Total,79,EastBound
18-11-2016 11:15,Total,108,EastBound
18-11-2016 11:30,Total,72,EastBound
18-11-2016 11:45,Total,86,EastBound
18-11-2016 12:00,Total,84,EastBound
18-11-2016 12:15,Total,106,EastBound
18-11-2016 12:30,Total,115,EastBound
18-11-2016 12:45,Total,88,EastBound
18-11-2016 13:00,Total,75,EastBound
18-11-2016 13:15,Total,94,EastBound
18-11-2016 13:30,Total,79,EastBound
18-11-2016 13:45,Total,86,EastBound
18-11-2016 14:00,Total,97,EastBound
18-11-2016 14:15,Total,95,EastBound
18-11-2016 14:30,Total,151,EastBound
18-11-2016 14:45,Total,118,EastBound
18-11-2016 15:00,Total,101,EastBound
18-11-2016 15:15,Total,131,EastBound
18-11-2016 15:30,Total,105,EastBound
18-11-2016 15:45,Total,153,EastBound
18-11-2016 16:00,Total,150,EastBound
18-11-2016 16:15,Total,148,EastBound
18-11-2016 16:30,Total,233,EastBound
18-11-2016 16:45,Total,195,EastBound
18-11-2016 17:00,Total,181,EastBound
18-11-2016 17:15,Total,162,EastBound
18-11-2016 17:30,Total,234,EastBound
18-11-2016 17:45,Total,206,EastBound
18-11-2016 18:00,Total,191,EastBound
18-11-2016 18:15,Total,183,EastBound
18-11-2016 18:30,Total,139,EastBound
18-11-2016 18:45,Total,134,EastBound
18-11-2016 19:00,Total,131,EastBound
18-11-2016 19:15,Total,91,EastBound
18-11-2016 19:30,Total,85,EastBound
18-11-2016 19:45,Total,90,EastBound
18-11-2016 20:00,Total,75,EastBound
18-11-2016 20:15,Total,76,EastBound
18-11-2016 20:30,Total,56,EastBound
18-11-2016 20:45,Total,45,EastBound
18-11-2016 21:00,Total,81,EastBound
18-11-2016 21:15,Total,50,EastBound
18-11-2016 21:30,Total,52,EastBound
18-11-2016 21:45,Total,55,EastBound
18-11-2016 22:00,Total,46,EastBound
18-11-2016 22:15,Total,26,EastBound
18-11-2016 22:30,Total,36,EastBound
18-11-2016 22:45,Total,21,EastBound
18-11-2016 23:00,Total,15,EastBound
18-11-2016 23:15,Total,11,EastBound
18-11-2016 23:30,Total,22,EastBound
18-11-2016 23:45,Total,8,EastBound
18-11-2016 00:00,Total,16,EastBound
19-11-2016 00:15,Total,9,EastBound
19-11-2016 00:30,Total,20,EastBound
19-11-2016 00:45,Total,14,EastBound
19-11-2016 01:00,Total,16,EastBound
19-11-2016 01:15,Total,11,EastBound
19-11-2016 01:30,Total,6,EastBound
19-11-2016 01:45,Total,4,EastBound
19-11-2016 02:00,Total,11,EastBound
19-11-2016 02:15,Total,8,EastBound
19-11-2016 02:30,Total,4,EastBound
19-11-2016 02:45,Total,3,EastBound
19-11-2016 03:00,Total,0,EastBound
19-11-2016 03:15,Total,2,EastBound
19-11-2016 03:30,Total,3,EastBound
19-11-2016 03:45,Total,4,EastBound
19-11-2016 04:00,Total,5,EastBound
19-11-2016 04:15,Total,3,EastBound
19-11-2016 04:30,Total,4,EastBound
19-11-2016 04:45,Total,3,EastBound
19-11-2016 05:00,Total,5,EastBound
19-11-2016 05:15,Total,2,EastBound
19-11-2016 05:30,Total,10,EastBound
19-11-2016 05:45,Total,13,EastBound
19-11-2016 06:00,Total,16,EastBound
19-11-2016 06:15,Total,10,EastBound
19-11-2016 06:30,Total,15,EastBound
19-11-2016 06:45,Total,20,EastBound
19-11-2016 07:00,Total,21,EastBound
19-11-2016 07:15,Total,33,EastBound
19-11-2016 07:30,Total,43,EastBound
19-11-2016 07:45,Total,43,EastBound
19-11-2016 08:00,Total,35,EastBound
19-11-2016 08:15,Total,44,EastBound
19-11-2016 08:30,Total,60,EastBound
19-11-2016 08:45,Total,81,EastBound
19-11-2016 09:00,Total,73,EastBound
19-11-2016 09:15,Total,66,EastBound
19-11-2016 09:30,Total,68,EastBound
19-11-2016 09:45,Total,82,EastBound
19-11-2016 10:00,Total,76,EastBound
19-11-2016 10:15,Total,83,EastBound
19-11-2016 10:30,Total,78,EastBound
19-11-2016 10:45,Total,105,EastBound
19-11-2016 11:00,Total,88,EastBound
19-11-2016 11:15,Total,112,EastBound
19-11-2016 11:30,Total,106,EastBound
