Time,Traffic Route,Vehicle Type,Count
07:00,A2B,PCL,0
07:00,A2B,MCL,0
07:00,A2B,CAR,0
07:00,A2B,TAXI,0
07:00,A2B,LGV,0
07:00,A2B,OGV1,0
07:00,A2B,OGV2,0
07:00,A2B,CDB,0
07:00,A2B,BEB,0
07:00,A2B,OB,0
07:00,A2B,TOT,0
07:00,A2B,PCU,0
07:00,A2C,PCL,0
07:00,A2C,MCL,0
07:00,A2C,CAR,0
07:00,A2C,TAXI,0
07:00,A2C,LGV,0
07:00,A2C,OGV1,0
07:00,A2C,OGV2,0
07:00,A2C,CDB,0
07:00,A2C,BEB,0
07:00,A2C,OB,0
07:00,A2C,TOT,0
07:00,A2C,PCU,0
07:00,A2D,PCL,0
07:00,A2D,MCL,0
07:00,A2D,CAR,0
07:00,A2D,TAXI,0
07:00,A2D,LGV,1
07:00,A2D,OGV1,0
07:00,A2D,OGV2,0
07:00,A2D,CDB,0
07:00,A2D,BEB,0
07:00,A2D,OB,0
07:00,A2D,TOT,1
07:00,A2D,PCU,1
07:00,B2A,PCL,0
07:00,B2A,MCL,0
07:00,B2A,CAR,0
07:00,B2A,TAXI,0
07:00,B2A,LGV,0
07:00,B2A,OGV1,0
07:00,B2A,OGV2,0
07:00,B2A,CDB,0
07:00,B2A,BEB,0
07:00,B2A,OB,0
07:00,B2A,TOT,0
07:00,B2A,PCU,0
07:00,B2C,PCL,0
07:00,B2C,MCL,0
07:00,B2C,CAR,0
07:00,B2C,TAXI,0
07:00,B2C,LGV,0
07:00,B2C,OGV1,0
07:00,B2C,OGV2,0
07:00,B2C,CDB,0
07:00,B2C,BEB,0
07:00,B2C,OB,0
07:00,B2C,TOT,0
07:00,B2C,PCU,0
07:00,B2D,PCL,0
07:00,B2D,MCL,0
07:00,B2D,CAR,0
07:00,B2D,TAXI,0
07:00,B2D,LGV,0
07:00,B2D,OGV1,0
07:00,B2D,OGV2,0
07:00,B2D,CDB,0
07:00,B2D,BEB,0
07:00,B2D,OB,0
07:00,B2D,TOT,0
07:00,B2D,PCU,0
07:00,C2A,PCL,0
07:00,C2A,MCL,0
07:00,C2A,CAR,10
07:00,C2A,TAXI,1
07:00,C2A,LGV,2
07:00,C2A,OGV1,0
07:00,C2A,OGV2,0
07:00,C2A,CDB,0
07:00,C2A,BEB,0
07:00,C2A,OB,0
07:00,C2A,TOT,13
07:00,C2A,PCU,13
07:00,C2B,PCL,3
07:00,C2B,MCL,0
07:00,C2B,CAR,75
07:00,C2B,TAXI,0
07:00,C2B,LGV,11
07:00,C2B,OGV1,0
07:00,C2B,OGV2,2
07:00,C2B,CDB,0
07:00,C2B,BEB,0
07:00,C2B,OB,0
07:00,C2B,TOT,91
07:00,C2B,PCU,90.9
07:00,C2D,PCL,0
07:00,C2D,MCL,0
07:00,C2D,CAR,5
07:00,C2D,TAXI,0
07:00,C2D,LGV,0
07:00,C2D,OGV1,0
07:00,C2D,OGV2,0
07:00,C2D,CDB,0
07:00,C2D,BEB,0
07:00,C2D,OB,0
07:00,C2D,TOT,5
